SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
4THDIM,Fourth Dimension Solutions Limited,EQ,06-SEP-2022,10,1,INE382T01022,10
AARON,Aaron Industries Limited,BE,06-NOV-2020,10,1,INE721Z01010,10
ACEINTEG,Ace Integrated Solutions Limited,EQ,04-NOV-2022,10,1,INE543V01017,10
ADANIPOWER,Adani Power Limited,BE,20-AUG-2009,10,1,INE814H01011,10
ADROITINFO,Adroit Infotech Limited,EQ,13-AUG-1997,10,1,INE737B01033,10
AGRITECH,Agri-Tech (India) Limited,EQ,28-JAN-2014,10,1,INE449G01018,10
AHLADA,Ahlada Engineers Limited,BE,28-JAN-2021,10,1,INE00PV01013,10
AHLEAST,Asian Hotels (East) Limited,BE,11-AUG-2010,10,1,INE926K01017,10
AJOONI,Ajooni Biotech Limited,EQ,07-MAY-2021,2,1,INE820Y01021,2
AKASH,Akash Infra-Projects Limited,EQ,11-OCT-2019,10,1,INE737W01013,10
AKG,Akg Exim Limited,BE,16-FEB-2021,10,1,INE00Y801016,10
ALPSINDUS,Alps Industries Limited,EQ,24-APR-1996,10,1,INE093B01015,10
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,BE,29-JUN-2004,10,1,INE792B01012,10
AMDIND,AMD Industries Limited,BE,19-MAR-2007,10,1,INE005I01014,10
ANKITMETAL,Ankit Metal & Power Limited,EQ,14-MAR-2013,10,1,INE106I01010,10
ANSALAPI,Ansal Properties & Infrastructure Limited,BE,27-JAN-2006,5,1,INE436A01026,5
ANTGRAPHIC,Antarctica Limited,EQ,31-DEC-1997,1,1,INE414B01021,1
APOLLO,Apollo Micro Systems Limited,BE,22-JAN-2018,10,1,INE713T01010,10
ARROWGREEN,Arrow Greentech Limited,BE,21-MAY-2015,10,1,INE570D01018,10
ARVEE,Arvee Laboratories (India) Limited,EQ,22-MAR-2021,10,1,INE006Z01016,10
ATLANTA,Atlanta  Limited,BE,25-SEP-2006,2,1,INE285H01022,2
AURUM,Aurum PropTech Limited,BE,19-AUG-2015,5,1,INE898S01029,5
AXITA,Axita Cotton Limited,EQ,21-JUN-2022,1,1,INE02EZ01022,1
BAGFILMS,B.A.G Films and Media Limited,BE,17-OCT-2003,2,1,INE116D01028,2
BAJAJFINSV,Bajaj Finserv Limited,EQ,26-MAY-2008,1,1,INE918I01026,1
BALAXI,BALAXI PHARMACEUTICALS LIMITED,BE,30-NOV-2015,10,1,INE618N01014,10
BALKRISHNA,Balkrishna Paper Mills Limited,EQ,28-JUL-2015,10,1,INE875R01011,10
BALLARPUR,Ballarpur Industries Limited,BZ,31-MAR-2008,2,1,INE294A01037,2
BANSWRAS,Banswara Syntex Limited,EQ,11-APR-2007,5,1,INE629D01020,5
BCONCEPTS,Brand Concepts Limited,BE,11-JAN-2022,10,1,INE977Y01011,10
BIGBLOC,Bigbloc Construction Limited,BE,02-SEP-2016,2,1,INE412U01025,2
BIKAJI,Bikaji Foods International Limited,EQ,16-NOV-2022,1,1,INE00E101023,1
BIL,Bhartiya International Limited,EQ,12-APR-2000,10,1,INE828A01016,10
BOHRAIND,Bohra Industries Limited,BE,27-OCT-2022,10,1,INE802W01023,10
BSHSL,Bombay Super Hybrid Seeds Limited,BE,28-OCT-2020,1,1,INE032Z01020,1
BURNPUR,Burnpur Cement Limited,EQ,03-JAN-2008,10,1,INE817H01014,10
CARYSIL,CARYSIL LIMITED,EQ,14-JAN-2021,2,1,INE482D01024,2
CCHHL,Country Club Hospitality & Holidays Limited,BE,03-FEB-2015,2,1,INE652F01027,2
CENTEXT,Century Extrusions Limited,BE,20-JUL-2004,1,1,INE281A01026,1
CROWN,Crown Lifters Limited,EQ,08-FEB-2022,10,1,INE491V01019,10
DANGEE,Dangee Dums Limited,EQ,13-NOV-2020,1,1,INE688Y01022,1
DBOL,Dhampur Bio Organics Limited,EQ,08-SEP-2022,10,1,INE0I3401014,10
DBREALTY,D B Realty Limited,EQ,24-FEB-2010,10,1,INE879I01012,10
DCI,Dc Infotech And Communication Limited,BE,19-OCT-2022,10,1,INE0A1101019,10
DCMFINSERV,DCM Financial Services Limited,BE,21-MAY-1997,10,1,INE891B01012,10
DCXINDIA,DCX Systems Limited,EQ,11-NOV-2022,2,1,INE0KL801015,2
DEEPENR,DEEP ENERGY RESOURCES LIMITED,BE,09-MAR-2010,10,1,INE677H01012,10
DHARSUGAR,Dharani Sugars&Chemicals Limited,BZ,22-MAY-1996,10,1,INE988C01014,10
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,EQ,01-DEC-2021,10,1,INE505A01010,10
DNAMEDIA,Diligent Media Corporation Limited,EQ,11-DEC-2017,1,1,INE016M01021,1
DRCSYSTEMS,DRC Systems India Limited,BE,10-MAR-2021,1,1,INE03RS01027,1
DREAMFOLKS,Dreamfolks Services Limited,EQ,06-SEP-2022,2,1,INE0JS101016,2
DSSL,Dynacons Systems & Solutions Limited,EQ,01-DEC-2011,10,1,INE417B01040,10
E2E,E2E Networks Limited,BE,12-APR-2022,10,1,INE255Z01019,10
EMIL,Electronics Mart India Limited,EQ,17-OCT-2022,10,1,INE02YR01019,10
EROSMEDIA,Eros International Media Limited,BE,06-OCT-2010,10,1,INE416L01017,10
EUROTEXIND,Eurotex Industries and Exports Limited,EQ,31-JAN-1996,10,1,INE022C01012,10
EXCEL,Excel Realty N Infra Limited,EQ,03-AUG-2009,1,1,INE688J01023,1
FAZE3Q,Faze Three Limited,EQ,18-NOV-2022,10,1,INE963C01033,10
FCONSUMER,Future Consumer Limited,BE,04-JUL-2013,6,1,INE220J01025,6
FEL,Future Enterprises Limited,BE,05-NOV-2001,2,1,INE623B01027,2
FELDVR,Future Enterprises Limited,BE,13-FEB-2009,2,1,IN9623B01058,2
FLEXITUFF,Flexituff Ventures International Limited,BE,19-OCT-2011,10,1,INE060J01017,10
FSC,Future Supply Chain Solutions Limited,EQ,18-DEC-2017,10,1,INE935Q01015,10
FUSION,Fusion Micro Finance Limited,EQ,15-NOV-2022,10,1,INE139R01012,10
GALLANTT,Gallantt Ispat Limited,EQ,04-APR-2006,10,1,INE297H01019,10
GAYAHWS,Gayatri Highways Limited,BE,28-JUN-2018,2,1,INE287Z01012,2
GAYAPROJ,Gayatri Projects Limited,BE,22-AUG-2011,2,1,INE336H01023,2
GENESYS,Genesys International Corporation Limited,EQ,23-JAN-2003,5,1,INE727B01026,5
GLFL,Gujarat Lease Financing Limited,BE,08-FEB-1995,10,1,INE540A01017,10
GLOBAL,Global Education Limited,EQ,07-DEC-2020,5,1,INE291W01029,5
GMRINFRA,GMR Airports Infrastructure Limited,EQ,21-AUG-2006,1,1,INE776C01039,1
GOLDENTOBC,Golden Tobacco Limited,BZ,08-FEB-1995,10,1,INE973A01010,10
GOYALALUM,Goyal Aluminiums Limited,EQ,04-NOV-2022,10,1,INE705X01018,10
GRMOVER,GRM Overseas Limited,EQ,07-SEP-2022,2,1,INE192H01020,2
GVKPIL,GVK Power & Infrastructure Limited,BE,27-FEB-2006,1,1,INE251H01024,1
HARSHA,Harsha Engineers International Limited,EQ,26-SEP-2022,10,1,INE0JUS01029,10
HECPROJECT,HEC Infra Projects Limited,EQ,30-DEC-2021,10,1,INE558R01013,10
HINDCON,Hindcon Chemicals Limited,BE,05-JUL-2021,10,1,INE642Y01011,10
HINDMOTORS,Hindustan Motors Limited,EQ,21-FEB-2011,5,1,INE253A01025,5
HLEGLAS,HLE Glascoat Limited,EQ,22-FEB-2021,2,1,INE461D01028,2
HOTELRUGBY,Hotel Rugby Limited,EQ,03-APR-1996,10,1,INE275F01019,10
HPIL,Hindprakash Industries Limited,EQ,07-NOV-2022,10,1,INE05X901010,10
HUBTOWN,Hubtown Limited,BE,07-FEB-2007,10,1,INE703H01016,10
ICEMAKE,Ice Make Refrigeration Limited,BE,12-OCT-2020,10,1,INE520Y01019,10
IMAGICAA,Imagicaaworld Entertainment Limited,BE,06-APR-2015,10,1,INE172N01012,10
INDLMETER,IMP Powers Limited,BZ,10-JAN-1996,10,1,INE065B01013,10
INDOSTAR,IndoStar Capital Finance Limited,BE,21-MAY-2018,10,1,INE896L01010,10
INDOTHAI,Indo Thai Securities Limited,BE,02-NOV-2011,10,1,INE337M01013,10
INFOMEDIA,Infomedia Press Limited,EQ,12-OCT-2006,10,1,INE669A01022,10
INSPIRISYS,Inspirisys Solutions Limited,EQ,30-OCT-2006,10,1,INE020G01017,10
IRISDOREME,Iris Clothings Limited,BE,22-FEB-2021,10,1,INE01GN01017,10
JAIPURKURT,Nandani Creation Limited,BE,02-SEP-2021,10,1,INE696V01013,10
JBFIND,JBF Industries Limited,EQ,25-FEB-2004,10,1,INE187A01017,10
JINDWORLD,Jindal Worldwide Limited,EQ,25-NOV-2010,1,1,INE247D01039,1
JUBLINDS,Jubilant Industries Limited,BE,14-FEB-2011,10,1,INE645L01011,10
JWL,Jupiter Wagons Limited,BE,18-OCT-2010,10,1,INE209L01016,10
KAMATHOTEL,Kamat Hotels (I) Limited,BE,29-MAY-1996,10,1,INE967C01018,10
KAMDHENU,Kamdhenu Limited,BE,09-MAY-2006,10,1,INE390H01012,10
KARMAENG,Karma Energy Limited,BE,28-JUN-2011,10,1,INE725L01011,10
KBCGLOBAL,KBC Global Limited,BE,02-APR-2018,1,1,INE278R01034,1
KHAITANLTD,Khaitan (India) Limited,BE,20-DEC-1995,10,1,INE731C01018,10
KHANDSE,Khandwala Securities Limited,EQ,07-FEB-2001,10,1,INE060B01014,10
KINGFA,Kingfa Science & Technology (India) Limited,BE,15-NOV-2016,10,1,INE473D01015,10
KOHINOOR,Kohinoor Foods Limited,EQ,20-OCT-1999,10,1,INE080B01012,10
KRITIKA,Kritika Wires Limited,EQ,04-MAY-2022,2,1,INE00Z501029,2
KRITINUT,Kriti Nutrients Limited,EQ,07-OCT-2022,1,1,INE798K01010,1
KSHITIJPOL,Kshitij Polyline Limited,BE,27-JUL-2022,2,1,INE013801027,2
KSOLVES,Ksolves India Limited,EQ,23-SEP-2022,10,1,INE0D6I01015,10
LASA,Lasa Supergenerics Limited,EQ,21-SEP-2017,10,1,INE670X01014,10
LGBFORGE,LGB Forge Limited,BE,01-AUG-2008,1,1,INE201J01017,1
LOKESHMACH,Lokesh Machines Limited,BE,05-MAY-2006,10,1,INE397H01017,10
LYPSAGEMS,Lypsa Gems & Jewellery Limited,EQ,05-NOV-2013,10,1,INE142K01011,10
MADHUCON,Madhucon Projects Limited,BE,05-OCT-2006,1,1,INE378D01032,1
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,BE,21-JAN-1998,10,1,INE843B01013,10
MBECL,Mcnally Bharat Engineering Company Limited,BE,06-OCT-2006,10,1,INE748A01016,10
MBLINFRA,MBL Infrastructure Limited,EQ,11-JAN-2010,10,1,INE912H01013,10
MEDANTA,Global Health Limited,EQ,16-NOV-2022,2,1,INE474Q01031,2
MEDICO,Medico Remedies Limited,BE,26-MAY-2022,10,1,INE630Y01016,10
MEGASOFT,Megasoft Limited,EQ,19-JUL-2007,10,1,INE933B01012,10
MEGASTAR,Megastar Foods Limited,BE,16-FEB-2022,10,1,INE00EM01016,10
MELSTAR,Melstar Information Technologies Limited,BZ,07-MAR-2000,10,1,INE817A01019,10
MEP,MEP Infrastructure Developers Limited,BE,06-MAY-2015,10,1,INE776I01010,10
MICEL,MIC Electronics Limited,BE,17-DEC-2021,2,1,INE287C01037,2
MITCON,MITCON Consultancy & Engineering Services Limited,BE,17-MAR-2022,10,1,INE828O01033,10
NARMADA,Narmada Agrobase Limited,EQ,27-OCT-2022,10,1,INE117Z01011,10
NDTV,New Delhi Television Limited,BE,19-MAY-2004,4,1,INE155G01029,4
NEXTMEDIA,Next Mediaworks Limited,EQ,04-APR-2001,10,1,INE747B01016,10
NILASPACES,Nila Spaces Limited,BE,28-DEC-2018,1,1,INE00S901012,1
OMKARCHEM,Omkar Speciality Chemicals Limited,BE,10-FEB-2011,10,1,INE474L01016,10
ONELIFECAP,Onelife Capital Advisors Limited,EQ,17-OCT-2011,10,1,INE912L01015,10
ONEPOINT,One Point One Solutions Limited,BE,09-MAY-2019,2,1,INE840Y01029,2
PARACABLES,Paramount Communications Limited,BE,03-JAN-2007,2,1,INE074B01023,2
PCJEWELLER,PC Jeweller Limited,BE,27-DEC-2012,10,1,INE785M01013,10
PDSL,PDS Limited,EQ,21-OCT-2014,2,1,INE111Q01021,2
PENINLAND,Peninsula Land Limited,BE,08-FEB-1995,2,1,INE138A01028,2
PFS,PTC India Financial Services Limited,BZ,30-MAR-2011,10,1,INE560K01014,10
PGEL,PG Electroplast Limited,EQ,26-SEP-2011,10,1,INE457L01011,10
PNC,Pritish Nandy Communications Limited,BE,11-DEC-2000,10,1,INE392B01011,10
PODDARHOUS,Poddar Housing and Development Limited,EQ,10-APR-2017,10,1,INE888B01018,10
PPLPHARMA,Piramal Pharma Limited,EQ,19-OCT-2022,10,1,INE0DK501011,10
PRESSMN,Pressman Advertising Limited,BE,05-JAN-2005,2,1,INE980A01023,2
PTC,PTC India Limited,BZ,07-APR-2004,10,1,INE877F01012,10
RADAAN,Radaan Mediaworks India Limited,EQ,27-FEB-2003,2,1,INE874F01027,2
RAJRILTD,Raj Rayon Industries Limited,BE,16-MAR-2022,1,1,INE533D01032,1
RAJTV,Raj Television Network Limited,EQ,16-MAR-2007,5,1,INE952H01027,5
RAMASTEEL,Rama Steel Tubes Limited,EQ,19-AUG-2015,1,1,INE230R01035,1
REDINGTON,Redington Limited,EQ,15-FEB-2007,2,1,INE891D01026,2
RELINFRA,Reliance Infrastructure Limited,BE,08-FEB-1995,10,1,INE036A01016,10
RHFL,Reliance Home Finance Limited,BE,22-SEP-2017,10,1,INE217K01011,10
RITCO,Ritco Logistics Limited,BE,12-APR-2022,10,1,INE01EG01016,10
RKDL,Ravi Kumar Distilleries Limited,BE,27-DEC-2010,10,1,INE722J01012,10
ROLTA,Rolta India Limited,BZ,01-MAR-1995,10,1,INE293A01013,10
RPOWER,Reliance Power Limited,BE,11-FEB-2008,10,1,INE614G01033,10
RVHL,Ravinder Heights Limited,BE,18-DEC-2020,1,1,INE09E501017,1
SABEVENTS,Sab Events & Governance Now Media Limited,EQ,15-SEP-2016,10,1,INE860T01019,10
SABTN,Sri Adhikari Brothers Television Network Limited,BE,16-NOV-2007,10,1,INE416A01036,10
SAKAR,Sakar Healthcare Limited,EQ,11-APR-2019,10,1,INE732S01012,10
SAKSOFT,Saksoft Limited,EQ,09-MAY-2005,1,1,INE667G01023,1
SAMBHAAV,Sambhaav Media Limited,BE,05-JUN-1996,1,1,INE699B01027,1
SANCO,Sanco Industries Limited,BE,22-NOV-2016,10,1,INE782L01012,10
SANGHIIND,Sanghi Industries Limited,BE,10-MAY-1995,10,1,INE999B01013,10
SATINDLTD,Sat Industries Limited,EQ,21-NOV-2022,2,1,INE065D01027,2
SCAPDVR,Stampede Capital Limited,EQ,10-OCT-2017,1,1,INE224E01036,1
SECURCRED,SecUR Credentials Limited,EQ,17-OCT-2022,10,1,INE195Y01010,10
SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED,EQ,29-JAN-2014,5,1,INE650K01021,5
SERVOTECH,Servotech Power Systems Limited,BE,02-SEP-2021,10,1,INE782X01017,10
SETUINFRA,Setubandhan Infrastructure Limited,BE,04-OCT-2011,1,1,INE023M01027,1
SHANTI,Shanti Overseas (India) Limited,EQ,16-SEP-2021,10,1,INE933X01016,10
SHEMAROO,Shemaroo Entertainment Limited,BE,01-OCT-2014,10,1,INE363M01019,10
SHRADHA,Shradha Infraprojects Limited,BE,22-OCT-2020,10,1,INE715Y01015,10
SHREERAMA,Shree Rama Multi-Tech Limited,BE,13-MAR-2000,5,1,INE879A01019,5
SIKKO,Sikko Industries Limited,BE,22-OCT-2021,10,1,INE112X01017,10
SILLYMONKS,Silly Monks Entertainment Limited,BE,08-JUL-2020,10,1,INE203Y01012,10
SILVERTUC,Silver Touch Technologies Limited,BE,12-MAY-2022,10,1,INE625X01018,10
SKMEGGPROD,SKM Egg Products Export (India) Limited,BE,14-MAR-1997,10,1,INE411D01015,10
SOFTTECH,Softtech Engineers Limited,EQ,25-FEB-2022,10,1,INE728Z01015,10
SOMICONVEY,Somi Conveyor Beltings Limited,BE,18-JUL-2016,10,1,INE323J01019,10
SOTL,Savita Oil Technologies Limited,EQ,28-JUN-1995,2,1,INE035D01020,2
SPANDANA,Spandana Sphoorty Financial Limited,BE,19-AUG-2019,10,1,INE572J01011,10
SPMLINFRA,SPML Infra Limited,EQ,14-FEB-1996,2,1,INE937A01023,2
SPORTKING,Sportking India Limited,EQ,24-AUG-2022,10,1,INE885H01011,10
SPTL,Sintex Plastics Technology Limited,BE,08-AUG-2017,1,1,INE501W01021,1
SRPL,Shree Ram Proteins Limited,EQ,23-SEP-2020,10,1,INE008Z01012,10
SSWL,Steel Strips Wheels Limited,EQ,06-JUN-2005,1,1,INE802C01033,1
SUKHJITS,Sukhjit Starch & Chemicals Limited,EQ,07-NOV-2022,10,1,INE450E01011,10
SUMIT,Sumit Woods Limited,BE,30-JUL-2019,10,1,INE748Z01013,10
SYNCOMF,Syncom Formulations (India) Limited,EQ,18-NOV-2022,1,1,INE312C01025,1
SYRMA,Syrma SGS Technology Limited,EQ,26-AUG-2022,10,1,INE0DYJ01015,10
TDPOWERSYS,TD Power Systems Limited,EQ,08-SEP-2011,2,1,INE419M01027,2
TECHIN,Techindia Nirman Limited,BE,08-SEP-2011,10,1,INE778A01021,10
TFL,Transwarranty Finance Limited,BE,26-FEB-2007,10,1,INE804H01012,10
TFL-RE,Transwarranty Fin Ltd-RE,BE,15-NOV-2022,10,1,INE804H20012,10
TIL,TIL Limited,BZ,27-SEP-1995,10,1,INE806C01018,10
TIMESGTY,Times Guaranty Limited,EQ,11-JUN-2002,10,1,INE289C01025,10
TIPSFILMS,Tips Films Limited,EQ,06-OCT-2022,10,1,INE0LQS01015,10
TMB,Tamilnad Mercantile Bank Limited,EQ,15-SEP-2022,10,1,INE668A01016,10
TOUCHWOOD,Touchwood Entertainment Limited,BE,21-JAN-2020,10,1,INE486Y01013,10
TPLPLASTEH,TPL Plastech Limited,EQ,20-MAY-2015,2,1,INE413G01022,2
TRACXN,Tracxn Technologies Limited,EQ,20-OCT-2022,1,1,INE0HMF01019,1
TRF,TRF Limited,EQ,26-MAR-2010,10,1,INE391D01019,10
TRU,TruCap Finance Limited,EQ,10-MAY-2022,2,1,INE615R01029,2
TTML,Tata Teleservices (Maharashtra) Limited,BE,20-OCT-2000,10,1,INE517B01013,10
TVVISION,TV Vision Limited,BE,15-SEP-2016,10,1,INE871L01013,10
TWL,Titagarh Wagons Limited,BE,21-APR-2008,2,1,INE615H01020,2
UMESLTD,Usha Martin Education & Solutions Limited,EQ,12-JUL-2010,1,1,INE240C01028,1
URJA,Urja Global Limited,BE,28-MAR-2017,1,1,INE550C01020,1
VIKASLIFE,Vikas Lifecare Limited,EQ,08-MAY-2019,1,1,INE161L01027,1
VIKASPROP,Vikas Proppant & Granite Limited,BZ,19-AUG-2019,1,1,INE767B01022,1
VINYLINDIA,Vinyl Chemicals (India) Limited,BE,21-JUL-2008,1,1,INE250B01029,1
VISESHINFO,Visesh Infotecnics Limited,BE,14-JAN-2000,1,1,INE861A01058,1
WALCHANNAG,Walchandnagar Industries Limited,BE,18-SEP-1996,2,1,INE711A01022,2
WESTLIFE,WESTLIFE FOODWORLD LIMITED,EQ,19-AUG-2019,2,1,INE274F01020,2
WEWIN,WE WIN LIMITED,BE,15-JUN-2022,10,1,INE082W01014,10
WFL,Wonder Fibromats Limited,BE,17-JAN-2022,10,1,INE02WG01016,10
WILLAMAGOR,Williamson Magor & Company Limited,BE,08-FEB-1995,10,1,INE210A01017,10
XELPMOC,Xelpmoc Design And Tech Limited,BE,04-FEB-2019,10,1,INE01P501012,10
XPROINDIA,Xpro India Limited,EQ,27-APR-2004,10,1,INE445C01015,10
YAARI,Yaari Digital Integrated Services Limited,EQ,18-AUG-2011,2,1,INE126M01010,2
ZEEMEDIA,Zee Media Corporation Limited,BE,10-JAN-2007,1,1,INE966H01019,1
ZENITHEXPO,Zenith Exports Limited,BE,10-JUL-1996,10,1,INE058B01018,10
ZENITHSTL,Zenith Steel Pipes & Industries Limited,EQ,30-APR-2007,10,1,INE318D01020,10
ZODIAC,Zodiac Energy Limited,EQ,14-DEC-2021,10,1,INE761Y01019,10
